,Thompson,Thompson_epsilon,Thompson_eta,Thompson_epsilon_eta,UCB_beta,UCB_beta_epsilon,UCB_beta_eta,UCB_beta_epsilon_eta,hybrid,hybrid_epsilon,hybrid_eta,hybrid_epsilon_eta,UCB_b1,UCB_b1_epsilon,UCB_b1_eta,UCB_b1_epsilon_eta,ID
109,486.80318415082473,463.36855435363975,450.3431455174688,426.37159294592385,467.73522141043,467.91743327056025,436.59520668951086,420.5002960038551,482.12247199963093,473.1722357633817,447.2700155857825,438.1367364373071,476.9089437163567,488.8918732103606,453.7824872475455,465.5985641808432,154
110,618.3188551086653,565.1199585118343,573.0307006616786,516.2102838924928,565.3313113914388,555.4226277999709,557.8245380721122,513.6463313507933,580.224380454226,566.5555724643106,537.133134953304,528.4323933749108,554.1230190941792,555.8139121693857,545.9726882816522,541.8555386446147,155
111,599.5356726719957,555.6241551692865,569.6949294914614,527.9848394964685,559.5936600878065,555.8833995296942,552.8636373267773,530.7965708382675,569.4982313739147,568.9528826855247,548.3525635464985,549.0776521123278,548.5623829216295,557.933295242165,541.8340493842477,547.5862291638565,156
112,545.5177296118045,523.6066417075764,519.0293834445058,472.9439185681859,524.6703899906798,521.0101705088862,503.44097750195465,483.3979897125144,526.3070057548093,510.8084141918219,496.9688438234456,494.0767581601723,537.1102427037046,543.4975707525718,518.5947266408072,522.4897624824019,157
113,599.4137293594835,577.0500867133286,597.2354298742247,576.479629727783,596.0557240826071,600.9445242175681,606.8453547254035,611.0951760050913,578.7399483142045,577.4619735946904,593.5252576345381,603.3731639707253,586.1587574988367,597.8565897329106,596.6489294577368,608.1800097245728,158
114,644.748224269169,609.2406678734625,629.9361426586053,583.2066875753324,625.8509475894555,632.3963772577063,606.5199189572284,609.2074724299346,629.5624359762568,636.2384332269947,604.2717900418236,611.6143090671993,622.4342891657682,632.662046318327,603.1719714017175,612.0275356387259,159
115,432.1927164726765,422.94685474809995,428.2316796059548,416.444629501724,398.2336367747794,393.6712361673525,401.38756994752396,386.23151519151463,414.78719772973955,408.27091252632226,416.5752410317349,403.9394708638221,449.2316296148803,460.9919810394342,451.66587418943715,463.3194612233518,160
116,752.1648480879941,603.5223605844578,629.7019336499685,594.8124515079159,617.7540041676937,608.1212015346017,627.0107891220216,604.1650127146244,622.3021280728076,621.3277866957271,615.1620376559711,620.5516095078797,636.3505495542839,602.8652710930395,646.9385475081336,607.0756842172156,161
117,687.0928087225446,576.5832465024154,480.7647965943595,446.80527489902164,554.1701021593144,561.3388695182502,494.9372484364033,481.81905560308223,543.9480219327417,546.9927428135555,461.6072821902331,448.4700194140057,547.4214877168653,557.668968183047,486.2469822756226,496.8399895690902,162
121,598.3042625389921,569.9315082120513,595.9574905155565,557.8297514853042,578.9961888465681,567.5237359638332,576.657967338983,551.1939039118403,588.826086102033,599.8888310351621,577.5903477421456,567.9350649999647,569.9832230907722,581.8095250263432,567.7236748424313,578.077460697393,166
122,531.9895920768045,507.79853526719563,506.67065668189974,470.52383386280917,513.1941175005411,522.9224218378165,486.3274984830963,490.81010770014734,496.6392267273138,507.6289256375036,487.1610757237637,499.0547723717545,502.90875074856325,511.9056458271889,476.06416727631284,484.19727401262037,167
123,570.9680871685773,580.2369472786919,548.7191514665334,544.8087384476769,592.2176354702532,601.30683543177,573.7470155944482,567.161792267434,554.1726970524993,566.0220756760159,563.4241840550285,564.7058145148601,581.2928147957784,593.2472022431239,563.529154664744,573.8941412098344,168
126,352.43699075954487,363.1203349915231,305.65563263540173,316.2449870328831,327.272365682335,334.35738945803416,285.20068790850064,289.3360507354446,353.71734429801484,393.07765620212064,298.77645168471173,305.4874071189143,407.4845410496996,419.46747574376695,378.2611016230577,390.2440353169297,172
128,457.96331674675906,466.12903655510917,435.06202092503776,437.18168963720103,449.8258935296731,460.9348007963273,436.50847691095646,436.29775984115696,462.06796380102537,481.6063179584529,453.7483095406257,453.75342318873487,464.4428019362494,476.4257331037948,452.9032206999933,464.88614586163123,176
130,659.0567619331322,639.0104770822508,564.8287882146506,571.9080470185747,617.4058657920266,628.0212932052809,590.4233832454066,595.3932723185872,628.5517782833701,638.3759414319613,582.196775750013,596.7301757824845,612.1329186260542,618.9760780041566,583.469017033843,586.6989087353295,178
131,503.4659289384906,510.56968217950373,482.53285516102545,486.02308216669985,509.13389309539065,519.2677577108171,486.85526900103116,497.06856632546067,503.7082992151248,512.6106545401587,494.83059262107037,509.6788674745555,524.86862720435,536.851560462188,508.290916765605,520.2738435724743,179
