,ID,Q_0,gamma_short,gamma_long,eta_short,eta_long,beta_long,beta_short
72,112.0,1.0000004984120292,1.9520521060269973e-07,3.0085888228554373e-07,3.5493393761035197,4.2579797105854915,1.0,1.0
74,114.0,2.495082101253487,3.356992360152169e-07,1.346573571666134,1.6454358930136441,1.6674000824472432,1.0,1.0
75,115.0,2.2741079887269207,3.775997575188295e-08,0.40376640318994556,3.5308864981224364,4.999999962070949,1.0,1.0
76,116.0,4.257490493193673,2.2976296356782568e-07,0.15173558388513964,2.1204003017400614,2.718248417279396,1.0,1.0
77,117.0,4.003761952329182,1.1804753385875042e-06,2.7364513477667044e-06,0.8562125601680193,1.3456549316397832,1.0,1.0
78,118.0,1.8251545324061882,0.10657011419898468,2.1558288552074232e-07,2.642354410400649,2.7026486706085144,1.0,1.0
79,119.0,1.155946094325753,4.044025832703346e-08,1.3232889453893733,4.636122082170081,4.999999921156567,1.0,1.0
80,120.0,2.5292149045966523,3.5268502081007743e-07,7.989926106379076e-07,4.276554859043291,4.999998168463477,1.0,1.0
81,121.0,1.668168505609672,5.897387315932004e-08,0.3328367928671067,3.064301361226044,3.1301322910018237,1.0,1.0
82,122.0,1.0938494463199198,0.15195328437824004,5.183125744204023e-08,3.8838589068566094,4.319699487080924,1.0,1.0
83,123.0,1.0478695025686036,8.275383534318328e-08,9.022545172581488e-08,4.345284086916731,4.999999631696693,1.0,1.0
84,125.0,3.0914334586701746,4.3728516646818693e-07,0.711300550463725,1.7787823451118272,1.6752818597574737,1.0,1.0
85,127.0,2.7492036929245964,1.9697798940368644e-06,4.5472914949892367e-07,3.1402857395952064,3.523677662894342,1.0,1.0
86,128.0,1.0000006384070872,2.848998016931839e-07,2.4057655272316585e-07,3.424397164203321,3.733406019498421,1.0,1.0
87,129.0,3.529151561371789,1.0354398541290883,1.2813879205017515,0.5805897966098993,8.135852945175827e-08,1.0,1.0
88,130.0,4.295818477231721,0.012789591829271843,5.26552903058926e-07,4.036958224503266,4.999999145154736,1.0,1.0
90,132.0,2.08091374181997,6.90589323984721e-08,1.0546626216985393e-06,3.1919561881120266,3.576082858818792,1.0,1.0
