,ID,sigma_0_short,sigma_0_long,Q_0,epsilon_short,epsilon_long
74,114.0,1.1389217243524519,0.7378956063957807,5.074277064527214,0.01657411789570552,0.05111182266824452
75,115.0,5.1581658962695665,2.1353226989851346,8.498329215649322,0.12639246260450027,0.09937098308352234
76,116.0,1.2982342698920932,1.1701574895205098,6.864785037111957,0.04603329217507604,0.04142942219437566
77,117.0,0.9052963769584729,1.0258860068129645,5.204718235119714,0.28165703281876986,0.24952743622259463
78,118.0,0.9968154817320115,0.7321310636834425,4.812449629034483,0.11670222302435769,0.12429564193908893
79,119.0,2.3553132125986593,1.4484051849904298,7.488278502084554,0.07723791617649854,0.05369277817745008
80,120.0,1.7960169904794823,1.6343822931564178,7.769948443299575,0.04469889829849385,1.8674604469371548e-08
81,121.0,1.0625717188298247,1.298787122989366,5.15738571029376,0.011502166012451064,1.1836003276946e-08
82,122.0,0.9475669758601593,1.2242044525660796,5.660399940630601,0.19950172853841464,0.16532532517837767
83,123.0,0.9682187926613364,1.0713907726789036,6.095504523953318,0.0773906401835418,0.04612119201571766
84,125.0,1.7397236339925257,1.0765386307094944,5.381104495351551,0.13851593629491088,0.19037017134890893
85,127.0,1.6080934986778974,1.525983527807605,6.474091813905799,0.06363367485916561,0.10462908567546313
86,128.0,0.4169396270444226,0.44517284488135384,4.826603518017365,0.08856166059380573,0.037067517187635964
87,129.0,0.8631312680309472,0.44689382836145936,5.138973827690655,0.4450967964349691,0.4922961540732784
88,130.0,2.605516250369649,2.057791384780857,9.99999996012692,0.02815094140513578,0.0487729934085045
90,132.0,1.3746007693582345,1.1958049788405247,5.71317435401863,0.018596847878013245,0.020310277645358456
91,133.0,5.999999488615575,1.3332996192087216,7.67101667638621,0.07654429473363945,0.11922796131189602
92,134.0,1.994112401580021,1.3026591192823243,7.100159605170296,0.05008126393558951,0.09719731294668976
93,135.0,0.3892552560611443,0.3632418367841039,4.727512881314135,2.7537186440989096e-08,0.22349834388657686
94,136.0,1.5043039860790453,1.165472961952757,7.937588449656415,0.1832395141873649,0.18141313841501244
95,137.0,1.78748744840176,2.0767722347881543,7.58040377323614,0.0652353105148132,0.14438544065504696
96,138.0,1.2641707242775941,5.999999959183327,4.794704967286285,1.0248101160508716e-08,0.09231916770175089
97,139.0,1.6120133126885696,1.2758217777692253,7.6535634671599775,0.03528583156019873,0.07791521403182945
98,141.0,1.0685815958537954,5.999999941477008,4.333007229676005,0.08172406172875307,0.13085513600677245
99,142.0,1.5986310273059634,1.4619999976711204,6.925204388929071,0.09112117656933058,0.018575954383450284
100,143.0,1.5120734062677235,1.3298282287308087,6.662140856674909,0.03375579361740561,1.4505520075281248e-08
101,144.0,1.6288866698468156,1.573498402407353,6.116280215091593,0.1076427622599887,0.1438954389369983
103,147.0,0.4324055685010561,0.21605734173688826,4.781126800730073,0.03972681662965339,6.832787935132968e-05
104,148.0,2.476003533505515,1.6367987154240717,7.039150490196292,0.09687959514248692,0.3856793662056239
105,149.0,0.3226656981406334,0.15039201335146296,4.353513041644942,0.14012474418404872,5.7222054498051083e-08
106,150.0,0.47455013718153677,5.999999849478171,4.072049710111714,0.2816155651262522,0.38870720547289406
107,152.0,0.8688415055247989,0.8981524168529682,3.9175741590613034,0.05362994968172965,0.24141688999841793
108,153.0,1.2392220036256483,1.3486694858036832,3.8061938785634175,0.014409842878275105,1.0347712008638555e-08
109,154.0,1.6980620891928364,1.437893337387106,6.660026446377304,0.03836188892150491,0.062498427104443005
110,155.0,1.369919697199613,1.1482928207180447,7.0014046482432875,0.17912959399544695,0.14917242359355462
111,156.0,1.0720417243393985,1.3134234630534076,6.544185549812573,0.1534487734831409,0.10875772685020466
112,157.0,1.0725627146113332,5.999999690281859,5.310212457487147,0.01875506567074739,0.09858087057308712
113,158.0,2.0597440200381905,3.0238489421935584,6.380463171816795,0.09161065583737582,0.044766808897210485
114,159.0,1.3653064117981848,1.6263975037734673,5.2484430303036085,0.06963282020730889,0.18567942412723382
115,160.0,0.9457949907011067,0.9751050472880587,5.76914779295772,0.0062351186531843005,0.052214068168962756
116,161.0,2.275049285210752,1.5996353664787073,8.381981012268604,0.288814466067329,0.1979883546123546
117,162.0,5.999998953258966,1.993260193478548,8.835366605562294,0.390050251310321,0.055615867921424894
121,166.0,1.4856458640160988,1.280276319411646,5.954714429670436,0.14132765753846965,0.12634787710276066
122,167.0,4.933820581870281,2.3837418246832143,9.090994445041963,0.1071196358399484,0.06830698019361747
123,168.0,0.462914654390634,0.5212548628945969,5.392584204388472,0.0692494705680518,0.048677854363424214
126,172.0,1.0609629878364686,1.1896076127991675,5.9306912055097065,0.014298278971580734,1.0220822921267053e-08
128,176.0,1.475355397478754,0.9717118249259106,6.10671690756836,0.03666085663328249,0.0005643044060646775
130,178.0,1.9555910157967262,1.7135284301030422,7.594668340144778,0.2211656625590573,0.19155112133831187
131,179.0,1.096762670035425,1.9279404363423005,4.8804147249384595,0.023916067870649104,0.052307896866879554
132,180.0,0.5781131272768083,0.6737894139288793,5.214315953092072,0.0681328906858381,0.20394320358523557
133,184.0,1.1393442955430393,0.8978504685830714,6.0404759126537435,1.1171163387796673e-08,0.007277653075587589
134,185.0,1.1022826408287874,1.0780547726647836,5.912281723492164,0.023587802795910377,1.0223453174183859e-08
135,186.0,1.4243808423733704,1.3068140352970556,6.0711925799713615,0.04510417620045304,0.04995404910610002
136,187.0,0.6210801313031494,5.999999787185639,4.272189163508281,0.01868010427848216,0.13067125143365574
138,189.0,2.5603748605627876,2.055586502771633,9.055992189932034,0.04806383431959726,0.10935107294203127
139,190.0,0.8527033701242023,4.565153619473989,4.659439188888078,0.0327673241887878,0.11064108694398579
140,191.0,3.01643335683521,2.002117459858359,9.404113821705176,0.07037722568016176,0.08225211664505666
141,192.0,0.5146276377608603,0.5307624090883917,3.530843170396319,0.15041380309181826,0.05319771154169961
142,193.0,0.9992583171231595,4.631934898535756,4.20996607233438,0.06804519481761737,0.07037990844409785
143,194.0,2.6483642922490644,0.6691735504925956,4.897883768778815,0.3736712616449042,0.2278640849438238
144,195.0,0.8025699404375684,0.7583463961835674,5.60785106260683,0.03706694378739287,1.704546030044614e-08
145,196.0,0.38044303514866235,1.1098954853637708,5.8882717891763106,0.22287927974954216,0.3447306528355796
146,197.0,1.7166203681547623,2.0876698615064155,6.270769335744679,0.15675975389480606,0.24894519920456518
148,201.0,1.4578116932170597,1.2142190893397655,6.224019598300781,0.03142680782150347,0.08427565017329398
149,202.0,0.9816304344095351,0.539900719641977,3.049537162292756,0.06195319179874117,0.10742724763430138
150,204.0,1.0840840958457088,0.7161943037770879,3.954708347700139,0.18376497503350323,0.2818553979090976
151,205.0,0.48666616208356805,0.33692091454262296,5.7109116933282,0.009087341368088574,0.015560318155946136
152,206.0,2.621162859195337,2.083216693797266,9.999999992809983,0.13271929864954718,0.2132325088547327
153,208.0,3.8400234425779916,1.6915171029634684,8.291628085824048,0.05333270910995027,0.10365068045348981
155,213.0,1.0996887878954997,1.0457801631189025,6.398901575781555,0.02657653054207203,0.04416205121256895
156,214.0,0.7118382767830413,0.6231391390725652,4.108857557125808,0.03713602094052651,0.21332836328004276
157,215.0,2.374674125648061,2.1162037385145225,9.99999994669139,0.08462555796266498,0.06291092866804344
158,216.0,0.7374689485007168,0.8288208068942138,5.0422247999869665,0.09628931582269608,0.11497676735287567
159,217.0,0.3883243455565335,0.1262792720218821,3.174714351060129,1.1099988548388661e-08,2.7659009235428178e-08
160,220.0,1.6173669873793528,1.212912331623357,6.611242488110999,0.03657013508292222,0.0735405003929594
161,223.0,5.209858601036347,2.6023009445823106,9.463092074467617,0.18613209776386078,0.19695172630252178
162,224.0,1.2786350720973183,1.0507045356940854,7.332922589984285,0.1814819496317625,0.13195168987944575
164,226.0,1.5080506722212763,1.361278183894946,6.915235924889926,0.2816115780553816,0.19376309437768913
165,227.0,1.4335536753277176,1.1653199837087136,6.338629768242972,0.00896318024881219,0.02504506803147331
166,229.0,0.6197240097619098,5.999999939229648,4.0349151406558414,1.1644045104907104e-08,2.688035694764761e-08
167,230.0,0.9466265229171766,1.0554063671051654,7.565753844400817,0.35251072697864655,0.3319145757896889
168,231.0,1.132920272535457,5.9999995863865,5.164662083808948,0.03138708603515128,0.11236392183800663
