,ID,sigma_0_short,sigma_0_long,Q_0,eta_short,eta_long,epsilon_short,epsilon_long
173,237.0,1.1402630018920572,1.0601501576943753,1.1735988641881787,3.9026546851339874,4.327237442599196,0.16356437678335634,0.20329663853326957
174,238.0,1.2332465480485817,1.3337316225745877,2.341182572275291,2.9884031189777485,3.2342545511363507,0.07610836393365494,0.06817297427528834
175,239.0,0.6219066539654501,1.3446667138037751,2.961544768933981,1.314851779294138,2.8977706355463084,0.4978330959200223,0.4999999946468718
176,240.0,0.8541992947217834,0.9531907714789403,2.0508989634351855,2.561829937562156,3.847758101627371,0.023268152225226525,0.07319166984007335
178,243.0,1.233246716904592,1.3337318138217413,2.341181533066731,2.988404104776457,3.234255621717758,0.07610836169338622,0.06817293597599391
179,244.0,1.077847288539787,1.291212600763359,3.7683182587694475,1.0810375063021358,1.7699264778173591,0.031222627133608353,0.10457235218573047
183,248.0,1.2330301367888412,1.3468681977317765,3.313975767317969,3.075929548075611,3.6158138796422374,0.046533118928014434,0.08459326322637101
184,249.0,1.1521825129372476,1.0264960920920734,5.761526749026254,0.8237021631807203,0.5093265052059511,0.4999999545454028,0.4999998941328669
185,251.0,1.0965008059344847,1.5082370016441458,1.8777654152562289,1.5212823492408305,1.8102217009484982,2.0137878044000813e-08,0.04692033548826432
186,252.0,1.0937201300114348,1.2182417234215697,1.69481376383463,1.0186865748656528,3.2340556506384757,1.0320340066897602e-08,0.0893966564030661
187,253.0,0.5695434408470782,0.5719113414859113,4.116600838490633,0.8591070572754838,0.8805115149891172,0.3036192282169179,0.32831053741197974
188,255.0,0.9631375255095714,1.2149856295812143,3.8894527344540184,1.8056670884485575,2.2466471000347004,0.04855619921534206,0.05338428857594524
189,256.0,1.3003817918948226,1.893974842120011,2.2861356029180437,2.787933970992808,4.999999214303643,0.06361403048076017,0.1383378952016874
190,259.0,0.8696883219266739,1.2833602504369523,2.8975611836266184,1.856028987087419,2.9810145841457123,0.05690165723912057,0.06623945309676037
191,260.0,1.3282993683249387,0.9423923047608689,2.732782738091847,3.5076271581381575,4.518474104324744,0.04728092818119625,0.07893023476326957
192,261.0,1.0443845354571542,1.2005064091982898,4.609087850175681,1.1281376464037534,1.972391236353698,0.05278458550785511,0.08656691944550782
194,263.0,1.0379959163457047,0.9988054059200836,2.4572414879752533,2.2795704504467467,2.631928277482402,0.09698927242442475,0.14226167103718032
195,264.0,0.8558021836632147,0.876717745162807,3.658562312140008,1.509424082122864,2.0961476287977936,0.10346048671364819,0.06593219803156052
196,265.0,0.9711124519951899,0.8650321081532726,3.2133810804963296,0.8513976228914466,0.9685851411761415,0.08384296846332294,0.18786152542263854
197,268.0,1.200258244050036,1.6272240962731113,5.0787782720776,1.5416987929775126,4.3261945595062326,0.03830032018745186,0.06708844123578694
198,269.0,1.8196710981304707,1.1755898457340195,3.2419720036075623,3.7404260325505714,4.999999720460858,0.06931166806337796,0.06029387571798162
199,270.0,1.3416332783361429,1.0538436722210938,3.973264070662158,2.7489770431054112,2.6739475642599557,0.18695851696271373,0.21008257618575293
200,272.0,0.8940476045563543,0.7717241106321158,3.375426104515284,0.6408101175061147,1.2972646449872327,0.16110212133256901,0.19902906189973696
201,273.0,1.0834694237548448,1.4173950172111083,2.9043282908369323,2.8922121021825764,4.999999933478941,0.03060125880659854,0.08670764413325499
202,274.0,1.054603365501501,1.4779752193331108,3.835795445024897,2.2809362750327584,4.9999997983789894,0.014481610683111669,0.024713252130447203
203,276.0,0.8008230621719191,0.9938724753214953,4.02603353400112,1.7024766014429995,2.2075970184842233,0.01817672527792261,0.0557726829319375
204,277.0,1.1884866379407562,2.205747952942896,2.765761400001779,2.2891029013032305,4.29348519245983,0.030568028097546638,0.042127601866232836
206,279.0,1.2853112837861365,1.5102686735164015,4.197490044004024,1.7490397650141114,3.013728364130299,0.03412227795626965,0.04402628789655529
207,280.0,1.1122808469187149,1.192208312278846,1.0000002139764688,3.744285885395316,4.559109406827221,1.3369355037492434e-08,0.06036535850560407
208,281.0,0.9143998008220684,0.9680198292352884,4.278145706419647,1.8499242045710966,2.6101836425573732,0.07085184409760992,0.021554326902542813
209,282.0,0.5782089517210764,0.1306628034727872,4.775241089002334,1.0254236441347602,0.0589486138485733,0.4763414431769617,0.49999808398336826
210,283.0,1.2416634794974515,1.4103944516540385,2.679963613460795,4.164320173015813,4.999994158469381,0.22010669336369687,0.0796925343423071
212,285.0,0.5919571863359206,0.4306707606009246,3.1009284839354274,0.13238666871465135,0.3762584062455999,0.31710648133203473,0.25021326925677234
213,286.0,0.8502915618299905,1.1030504834896686,2.6493509278728338,0.9158287066298005,4.558663048518248,0.0018517632453322961,0.10977965662665409
214,287.0,1.648088706986777,1.6606306279156309,1.000002779960478,2.0460617416440083,2.6906979035353724,0.027971872266136493,0.05824351840129351
216,289.0,1.7190541626149565,0.8899982940964883,6.27117582885673,1.872858869612026,1.4796979797744103,0.10174945655999332,0.14583911789899998
217,290.0,1.0937201300114348,1.2182417234215697,1.69481376383463,1.0186865748656528,3.2340556506384757,1.0320340066897602e-08,0.0893966564030661
218,291.0,0.4657254578291392,0.6061708822229992,4.027682983962294,0.6064593458454759,1.2070153449427257,0.06915773010293987,0.18155592568766415
219,292.0,1.2696842515639029,1.5684588070751695,2.041749623892222,3.369080825895662,4.99999961221707,0.04014750689861432,0.06180314208896051
220,293.0,0.9191200840701319,1.0067935934481012,2.704325741756437,4.999998322575269,4.885654997414216,0.1294968773046968,0.06870716851203015
221,294.0,0.2180995503224156,0.11611495656524132,1.4006831007020366,0.8786069214956264,2.500145275500528,0.09582524779020589,0.12032997558179026
222,295.0,0.9516654367689599,1.4770532171666044,3.6790843616845916,0.8734684204888528,2.9798334826230786,0.036312397827190875,0.07827330552179851
223,296.0,0.5151795065930983,0.6715582380449281,3.2445212864825668,0.5900923615037844,0.7906578053226939,0.02569005923168709,0.05182634848739452
224,297.0,1.2925028000026415,1.517503259360098,3.272979193090801,3.5929793932387053,4.999999437155918,0.0153907209916243,0.09923483339888885
225,298.0,1.2676448195796937,0.9661983959988898,3.6842200422788163,4.999999946943575,4.488776399685729,0.02743861556815934,0.06869576017341385
226,299.0,0.9577775574230645,0.7464086352287025,5.134788096884393,1.2830658303863505,1.3058641877212849,0.18204962406579675,0.22558318676996428
227,300.0,3.9006133811348644,1.058385207895945,4.735367227684778,4.999999452347004,4.999999952905942,1.120855372044774e-08,0.01570284427365921
229,302.0,1.1222516121259503,1.121081008483448,3.0242804557210072,2.1380323858612367,3.19106051429175,0.056001105732770944,0.04215785980016315
230,303.0,0.947380375032758,0.9411276105194827,2.966839689098486,1.8008789250253454,2.742455616457372,0.12266694036417317,0.19798975502129018
