,ID,Q_0,gamma_short,gamma_long,beta_short,beta_long,epsilon_short,epsilon_long,eta_short,eta_long
99,142.0,1.3840566636827591,3.1812590418901696e-08,4.4510732529209537e-07,2.9168774203181376,2.5109919931625906,0.10909923963476459,0.03182584898418937,4.150625933729824,4.999999971800832
100,143.0,1.7133825955835218,2.0859087363824624e-07,1.047455840936749,3.5123446756202767,2.4651702373532536,0.03767118323564805,9.997972298920468e-08,3.4773878713852113,3.8721158352524374
101,144.0,2.0245266084883458,3.3763274959149444e-07,1.691171062944571e-06,1.2635184187104183,1.4836561833698247,0.07416894034311139,0.1455189606591122,3.7327599995974743,3.485563810373106
103,147.0,1.0000001130466476,3.679099245698875e-08,2.304835000039854e-07,1.7553976271721339,0.7420577017750576,0.15761780606683318,0.05329250363636393,3.524562322490392,3.0924405320645447
104,148.0,2.3062621240103214,1.2214927257275111e-06,0.5897042791568412,1.6291492069315943,0.573429018456827,0.1180243923350375,0.1431974742812992,3.481406127257999,4.504668726628811
105,149.0,1.5515951290830554,2.882781882226437e-07,1.5893578486799995e-06,1.0139714487487046,0.592911563615739,0.17299863325130366,2.621062235208148e-07,2.224640386056207,1.9656265072759236
106,150.0,1.000000438558692,6.418265653256957e-08,1.5142845107536502,1.2741308241399363,0.9886359478653685,0.23865008160495652,0.24177246275942665,2.8582178215326053,4.9999999067319365
107,152.0,1.0000003984275474,1.9798020381357938e-07,2.319665925317221e-07,1.4652524063173045,1.6504125818545814,0.0451668534138983,0.2359718028122499,2.4185055154724573,3.119710128801992
108,153.0,1.5746617692658036,8.118436472857751e-08,1.5401097625295025e-07,1.467127574957688,1.7873807875726542,3.934203717511433e-09,1.637085028849379e-09,2.1189275939001417,2.2229038082142
109,154.0,1.0421014194185692,2.612134114418514e-07,2.878178680069509e-07,2.1375121171541314,3.1458697300897835,0.023526594191739917,0.09179960019748985,4.632403456418503,4.885350396555815
110,155.0,1.0000000844247563,2.9897062476306425e-08,0.34990318451184954,2.860667193143278,2.3862897207966833,0.17076263339605782,0.13216771336956304,4.730732121476107,4.9999997087447206
111,156.0,1.7654547567927517,5.798488310218493e-07,3.2241460627662086e-07,2.542025048650776,1.9279256174483221,0.19150343053770105,0.10320509940647861,4.095656308870143,4.249193517843017
112,157.0,1.4373916185251232,2.613876454732402e-07,8.901630862170753e-07,2.4024907128482997,2.1335868637892323,0.033433896077127476,0.17211536526620902,3.236349763826129,4.999999019645641
113,158.0,4.576990987319186,1.5529703149621537e-06,1.243450106163034,1.9692284893980392,0.9263764190375586,0.16510147371303355,7.588626726791423e-07,1.189257764659492,1.0971711104089954
114,159.0,1.0000006255896645,3.850436539535177e-07,5.0028130758671686e-08,1.7140089973994086,1.5556548296313135,0.06059444798408253,0.19172482329937002,3.7103364569994812,4.092902287731772
115,160.0,2.85911563390745,3.9108816949691306e-07,0.5477875699708868,4.320305581133064,2.6053094393591203,0.05390505238933699,0.07735534597816919,2.1814868181975715,2.366756579718286
116,161.0,2.7803429398686568,3.775618892623698e-07,0.5558199916315892,2.088289122490132,2.679046757340233,0.3232823404328155,0.21954046163586555,4.3739787554861635,3.837679185769401
117,162.0,1.000000058757992,1.913243961306146e-08,0.9126526322394352,0.9902743518839965,5.237226499780262,1.1809884398115209e-08,0.08609713822519659,4.0563480282083875,4.99999998580316
121,166.0,2.1582629692018562,1.0075653009123053e-06,1.163261531222952e-05,2.1349653003086297,3.066346793675261,0.1519278213874099,0.1815285682583151,3.2445651252084904,3.639676529427483
122,167.0,2.203894800680068,1.3603067640417958e-07,0.840860510041936,1.6244281749223548,1.3168830767684048,0.10292230807663418,0.0694592412818661,3.973373510243837,4.999999799294829
123,168.0,1.000000040860087,2.4785835857279195e-08,2.1503009915881182e-07,2.1123096868759714,1.8008795931525612,0.16217249018844304,0.1421139035901296,3.5504705021208625,4.649910991006364
126,172.0,1.5595912601876476,7.805184227924594e-08,1.6649689865683957e-07,3.021641455164097,2.721448117873935,0.024284869966603003,1.2662923029428436e-09,3.5483462520771827,4.1822137986012775
128,176.0,1.8424055944352944,2.6802800495309954e-07,1.0492464920464713e-06,1.8742207793818995,2.4680406828931467,0.022051818351820268,0.09252179058163532,3.3957708597190597,4.180953912050474
130,178.0,1.71892049127466,3.5861823850311005e-08,0.4772382971215859,1.4410695072823447,0.9154158419515865,0.14333183213685521,0.051474880470872945,4.6347197322055385,4.9999999605208485
131,179.0,1.0000002094832035,3.951996638789562e-08,0.28946432867245026,2.2520266851583033,1.1768044213964144,0.021450029736272806,8.36206409393941e-09,3.2997474921148564,3.6516294657380333
132,180.0,1.7776909839808257,6.016707835356739e-07,4.525845045894647e-07,1.7506191583078958,1.8085274749426061,0.12634078593914885,0.25679101741845684,2.8558751652790497,3.448345900613569
133,184.0,1.726292151399735,2.0937293266160912e-07,1.7330622166991072,4.1646949255054055,2.1594763390272336,0.011219938006822956,0.011104636844625516,2.848488334834303,2.9038079342110596
134,185.0,3.513736116637312,0.35836435555380386,1.7666105385372944e-06,5.229297962799467,3.8728454685390994,0.07221118510883898,0.017669327940558945,1.19912595352896,2.5551198655367453
