,ID,sigma_0_short,sigma_0_long,Q_0
206,279.0,1.9275742653063888,1.3309404599334702,6.909798589652002
207,280.0,1.1847586554227447,4.8310615762869205,5.699342724423671
208,281.0,2.045279754450867,1.1882113910621697,7.4189935083676
209,282.0,0.10748250172922176,0.07332396949349251,6.01429586874813
210,283.0,2.6945138673556337,1.9725360164468286,7.769202378668198
212,285.0,0.13722015495487985,0.14066504013573308,3.485185556412089
213,286.0,0.7241149467549666,5.999999993594638,4.388325810856562
214,287.0,1.368124888445501,1.829398794066976,3.68079587292861
216,289.0,1.0405607232997114,0.5692569450952634,7.38969338554485
217,290.0,0.8566712893662812,5.999997848234807,3.285697139244078
218,291.0,0.3932498186422382,0.32403847968705857,5.393719139341168
219,292.0,3.506182572240815,2.307941731797273,7.171691330811271
220,293.0,3.308638391699922,3.1346346852741975,9.999999450701923
221,294.0,5.999999915870639,2.731988459051895,9.636274613270007
222,295.0,0.7436795176883674,4.0436210179692615,5.249738349545104
223,296.0,0.4471975146889139,0.4352510975068586,4.448928211786475
224,297.0,2.958159901658524,2.377676024844857,8.672026675385583
225,298.0,2.090984542370865,3.103402650243849,9.999999993278994
226,299.0,0.31383865305194314,0.2574769854627374,6.4376339300026935
227,300.0,4.331436141137591,2.320553293131096,9.999999996051509
229,302.0,1.2959256740545884,0.7573601173065212,6.137251909761478
230,303.0,0.4265015185377591,0.2560990681717569,5.453764810380353
231,304.0,2.5322297956302897,1.346785078467734,6.723304716171432
232,305.0,3.6021895333190037,0.10812844573728256,9.999999996493925
233,306.0,0.37106582657251763,0.23371766776141217,6.276484048961491
234,307.0,0.2895869919498077,0.20593281473814,4.791579397561848
235,308.0,0.9025989832414961,0.49714101367122066,5.626881458561722
236,309.0,1.0305324181303483,3.9029040392963146,5.158310730986231
237,310.0,5.349150997906848,2.1615926655676496,9.361961254503601
238,311.0,0.09247060009175698,0.1108561633635478,4.2835856572356334
239,312.0,0.11803281288163484,0.13523113298341916,4.184533241178672
241,314.0,2.6004181979054346,2.454388629026146,8.673378830301983
242,315.0,0.5976974691109955,0.7644545040076618,5.022241303236584
243,316.0,0.8025163934779925,1.9330393380048065,4.585350205638186
244,318.0,0.16851539001647103,0.16639897329567452,6.010507779829905
245,319.0,0.6777499435913128,0.2838217941456947,6.018742449267533
246,320.0,4.04403427962976,1.4387438042101284,7.498454355082267
247,321.0,1.5090664345881275,1.8106962611251693,6.965719121385692
248,322.0,0.1474533700785709,0.1299626700433818,5.888585273880501
249,324.0,1.013928705646423,5.999999261203701,5.359797116670718
250,325.0,1.057151331364144,0.32547723079355234,6.325184457608929
251,326.0,1.0455324574445286,1.2397616659134911,5.114899547328048
252,327.0,0.3051116764242744,0.23236782912003132,5.500084062222017
253,328.0,1.030353313801126,1.493050632064731,6.111096083572835
254,329.0,2.5244169148576203,1.0073533317889538,8.214215121430687
255,330.0,5.999999994272011,0.5715109103052984,7.640180526058542
256,331.0,0.06436733355951334,0.05255338076097025,5.913076532879779
