,ID,sigma_0_short,sigma_0_long,Q_0,eta_short,eta_long
260,336.0,0.9876578553128394,4.824005404458703,3.096814177287735,1.5997879526990038e-08,4.99999997551168
261,337.0,1.4851346291972176,1.7391548805342731,2.0474618750348506,2.8767644920136353,3.331580505774732
262,338.0,0.18623995057955806,0.16121145460068312,4.987603077351095,0.11598344688322877,0.11008343907950355
263,339.0,0.24384596263369046,0.3556939731948143,4.32598982990987,1.514545304107149e-09,1.0778047853532678e-08
264,340.0,0.19708103157534468,0.18478582974037572,4.5057792813004784,0.333863317096292,0.3155135536785967
265,341.0,0.9570078855663582,0.1207235213327289,4.225297873678804,0.7965129588641602,0.058790571407518644
266,342.0,0.6564965827400464,0.3746608534747331,6.193042244394264,2.2907954038340755e-08,0.34917617518806454
267,343.0,0.7258776633474413,1.0545569806917212,4.264845038286632,1.0483453278356847,2.1058924242814614
268,344.0,0.4335836110385603,0.4633956578167396,5.144731514132259,0.5658952083150778,0.9296347740874912
269,345.0,1.127426960410265,1.1490685877140099,4.563591779688151,0.5789270421221195,0.38003627460239936
270,346.0,0.5727927810766403,1.900154157039885,4.639831730787356,0.6278824179321875,2.4173389482570684
271,347.0,0.0805610464059329,0.08055336309171951,4.513482682305663,0.18264237670079014,0.15407098154261273
272,348.0,0.17768933396786277,0.1284045287880983,4.666038859199225,0.17965739907533623,0.22554690802187005
273,349.0,0.25334677075682793,0.2926227962427086,4.581824450158627,0.03227395943293613,0.03154530382099847
274,350.0,1.0522043960540077,1.3905472163508599,4.429190299756007,1.6263229763301288,2.290178046162619
275,351.0,0.26022780066400514,3.8569366385549375,4.445433758551206,0.6652967378864335,4.999999827691964
276,353.0,0.3914974514959314,0.21190282687056067,5.398947367837358,0.3528551325589944,0.17601405142573992
277,354.0,0.9638893934222065,0.988483390615374,4.358720522346415,1.6798041372977965,2.4757267617246965
278,355.0,0.16643547551005236,0.1369065367626825,5.981330112424307,0.1238820123475347,0.14756367607304618
279,357.0,0.17728298880418342,2.810155375072401,5.023026087523779,0.3455339912634113,4.999999889439279
280,358.0,0.28894355581797093,0.19501042561697718,4.114896125015872,0.05249682512672346,0.10071911453236582
282,360.0,0.8126345387363061,0.9834146880989023,3.352954700372708,1.1754442558555913,2.7955359183938384
283,362.0,0.22965507713213099,0.2539757059278354,3.3712515310139715,5.66786027175589e-09,1.8783655087675216e-08
284,363.0,3.6201440728307523,3.467540284733921,7.12410591114462,3.9934455534801243,4.999999887186733
285,364.0,0.5724918462568963,0.6027939736093075,4.99848116044547,0.8217849691845889,1.1303857632105765
286,365.0,0.5061516174145332,0.21140769944380577,5.132207199065575,0.6534910303485165,0.29060183242241755
287,366.0,0.5972311097026756,0.8740890668496987,4.533200713675255,0.6864931702321921,1.2967328319368239
288,368.0,0.3142046164558158,0.16598819013810806,3.977660385512818,0.05396538476954773,0.15413169644357688
289,370.0,0.2940246447937624,0.18347202412864233,4.4703729031101185,0.23831900462648828,0.2604298871367209
290,371.0,0.8926543652387585,1.1418446126199762,3.789957338909344,0.26321323169717015,1.0622570611219064
291,372.0,0.20895166004394883,0.1691147129122459,5.783013930992347,0.2674836775962793,0.34947051688276365
292,373.0,1.2992269138754273,1.8769854811269395,2.9859977547734506,3.2779443235791863,4.9999986000097465
293,374.0,1.9442867691841441,0.3033594229085053,5.73898976262444,1.9024951997285775,0.641521587823456
294,375.0,2.8552285403848625,4.345766245478256,5.144711171588113,2.2515116514560694,4.999999813878976
295,376.0,0.9762429220445554,1.0641092623418478,4.342034426331734,1.0701132302330965,1.2625932457089128
296,377.0,0.14457552467205204,0.04596907558825548,5.042958274553232,0.2906839982907657,0.09495988984922978
297,378.0,1.0780856476923852,1.1126010090091012,2.670129620241971,2.0496683414258996,2.6235016963686757
298,380.0,0.155989327295288,0.17374470231383235,4.839253647951926,0.18974579825463986,0.14601916009358334
299,381.0,2.3089364540502597,4.013684920322393,3.2457790577375336,3.829640816027137,4.999999787917692
300,382.0,1.1517243076991635,1.930332037191052,3.3108856965877247,1.0360279417403209,4.999999920674821
301,383.0,0.2510481751785153,0.2357825798233864,4.511862114396292,0.3118067571795988,0.44076280065952644
302,384.0,0.6971686496712695,0.7289738203908114,4.546700470975458,0.5574229051624805,0.7525992208817306
303,385.0,0.5143342299969881,0.3710364935225715,2.752177860082858,1.0347400671402916e-09,8.655163265720912e-10
305,387.0,0.8427767598997681,1.935003718348287,4.623957248983019,0.9850609091143597,3.3952065432862697
306,388.0,0.47599840934199633,0.4453567219223926,5.039527824774357,5.9605905754993695e-06,0.11202003136550828
307,389.0,0.19657876320701262,0.20370947198647668,4.972759278657634,0.10417601709551136,0.27689447294293007
308,390.0,0.20238083505272866,0.21716847390756266,5.0885234457056185,0.11398903299676744,0.13466319646440064
309,391.0,0.9627343721618972,3.3550643636264943,4.5951660789538105,0.5791175468547044,3.9325259660107936
310,392.0,1.1624498335303515,1.1567390916205555,3.855878846491763,1.0844536827728966,1.5805527073910544
312,394.0,0.11383730708484238,0.0821048388717979,1.6078842613589526,0.004747511922544169,6.214134157368254e-10
313,396.0,0.5465437057424689,0.2391484946006287,5.454938705229945,0.8609073260893741,0.4179178368725895
314,397.0,1.2445240547491752,1.5574422799686014,5.0035233746605945,0.32210471542491625,1.8399219228843853
315,399.0,0.20531039154113234,0.7383191396891615,3.6127501705401865,0.08014957198171645,0.6327794871926201
316,400.0,0.21584733037402423,0.14139534363575135,4.8537280183366045,0.14701357728952177,0.09485363093082104
317,402.0,0.9926126313174484,2.00435678914826,3.6960204669762127,1.6684372493897088,2.735543904092762
318,403.0,0.9812418077705214,1.127315786127881,3.609264343575327,1.0074651014683298,1.9157817244612794
319,405.0,0.8015263875082524,1.6330250091402267,3.510758688675178,1.1371886393570332,3.9535187382288517
320,406.0,1.8086811978016974,0.7628613991849454,5.7918155446359245,0.9406706426081023,0.6558373065624077
321,407.0,0.5084168518056615,0.3675727025857428,4.610269255750517,4.652894211264648e-08,0.21770943779916194
322,408.0,0.9619343376809154,1.0912633396013154,3.9676732358752953,1.2162805204541405e-07,0.567387335836351
323,409.0,1.4419152628304825,5.999999736908791,1.3232979110883214,0.24168417000134115,3.640900305200619
324,410.0,0.757031761583588,0.5246286626210164,5.224002625447183,0.315466165506155,0.36578637134573316
325,412.0,2.1922079762502498,2.2880677196756802,1.8335010942910221,4.698952626999943e-08,1.7572125170084831
326,414.0,1.1373076081814362,1.0726511405214583,3.4378142776023997,1.499065872970386,2.0712350314145542
327,416.0,0.9194546039901061,1.3060031170499162,3.2784926710067857,1.868226432330801,2.8828675876805385
328,418.0,0.23989219664173148,0.18490589651551934,5.4970919494315105,0.2641729199005562,0.14006015526737728
329,419.0,0.16265446875426318,0.18954802637641427,4.259457554421292,0.30967550269582184,0.27500300972694697
330,420.0,1.0196567025462322,0.9800926236840586,4.0000044652112745,0.9170342268335633,1.5764409138519386
331,421.0,0.1989780708816718,0.10869030949531464,4.653026608218554,0.001673095697436327,0.07715177932918042
332,422.0,0.2567801942960449,0.18130387829492728,5.092732664369312,0.2714935216118525,0.13311190538314652
333,423.0,1.6920212938733055,1.5595175020629706,2.649637661934931,0.798908799121659,0.7403337121470008
334,424.0,0.2899452920992531,0.23635784354743508,4.309643863163078,0.05797779662743227,0.08424345233613498
335,425.0,0.777531390479759,0.9251951012841777,3.7523329070712834,1.490459738894832,3.021380810076223
336,426.0,0.2595061680618408,0.5063209845631876,3.211296379055038,0.33992345780171346,0.9016312083678348
337,427.0,1.0390090194275636,1.39553367741068,3.6701378646204246,1.8153205540691917,3.3302119172789473
339,429.0,1.0462890121468695,2.3240041289862563,5.1094890257767895,3.0023333519100896e-07,3.643506627292235
342,432.0,0.09393070986649497,0.060522854922241215,2.6156251196756406,9.197835191829607e-10,3.4795109563646496e-10
343,433.0,1.0776148770171736,0.29526535757969685,5.535601118465757,0.588676799534394,0.6387904675238175
344,434.0,1.1907027996286534,1.5160935127730801,2.719554597532102,1.034728202900053,2.882355475311328
345,435.0,0.7999321040756792,0.9597376827917161,4.720697103334651,0.3734271326253457,1.4902422683692138
346,436.0,0.1855833738650555,0.1534615393828335,5.199291858087479,0.14702666813803847,0.11153094384838498
347,437.0,0.9302999490525046,2.014237997025577,3.927881142556882,1.9731073303776803,3.952487275103546
