,ID,Q_0,gamma_short,gamma_long,beta_long,beta_short
241,314.0,8.175615196111565,1.496069857336157e-08,0.594014340980339,1.0,1.0
242,315.0,4.650516914043958,1.3970260320095973e-08,0.9677879878251001,1.0,1.0
243,316.0,3.871990290129304,1.535159103802314e-08,2.2209947127142042,1.0,1.0
244,318.0,5.398586020378668,0.39698930867435694,0.7505978720437536,1.0,1.0
245,319.0,5.8842458028036,1.5825441473142e-08,1.912601888235912,1.0,1.0
246,320.0,5.654435579968649,1.656963557546266e-08,2.7116182258301387,1.0,1.0
247,321.0,6.918539681877186,1.4687278920044018e-08,0.7127071719519437,1.0,1.0
248,322.0,5.680937893457632,0.06320546298081219,0.327284491877697,1.0,1.0
249,324.0,5.310888879795233,1.4544057802723325e-08,2.600514762827786,1.0,1.0
250,325.0,6.52765777786436,1.8186076654630624e-08,0.5542060291033094,1.0,1.0
251,326.0,4.722763007224089,1.4771568615325693e-08,1.2959938948980498,1.0,1.0
252,327.0,5.865722763598031,1.432258691835399e-07,4.6107084529962063e-07,1.0,1.0
253,328.0,6.5307282314431925,1.0641712368861528e-07,9.108132750952813e-07,1.0,1.0
254,329.0,7.253550328779109,1.7817512761243754e-08,2.074661320315621,1.0,1.0
255,330.0,4.8995928357395515,1.0002339879416058e-07,2.9999999002407756,1.0,1.0
256,331.0,2.603715707409783,2.9545813015910682,2.7297078626882385,1.0,1.0
257,333.0,6.618347629323816,7.12467906744305e-07,0.648051073873231,1.0,1.0
258,334.0,5.690428271080079,1.345612890698697e-07,0.6377128516862061,1.0,1.0
259,335.0,2.9993974208836574,1.3625181802061095e-08,0.04676601627449252,1.0,1.0
260,336.0,3.5963706473811894,1.1087422764223485e-08,2.9999999986677954,1.0,1.0
261,337.0,5.572744488625667,1.5253180887111283e-08,0.2622975562247493,1.0,1.0
262,338.0,5.887020080648452,5.532559398531193e-07,0.16500945733593106,1.0,1.0
263,339.0,3.77099949806519,1.822091014146031e-08,0.2037450978626862,1.0,1.0
264,340.0,7.178856524715399,1.1969079543997444e-07,0.01525676038652882,1.0,1.0
265,341.0,5.251210485534275,0.14144415453139417,1.7523777533081833e-07,1.0,1.0
266,342.0,6.253177824286805,5.800318616169241e-07,1.1728544944463613,1.0,1.0
267,343.0,6.331128701816287,1.5256411229032454e-08,0.9308527399312803,1.0,1.0
268,344.0,7.1317331687068695,1.915686743935595e-08,0.8150078806899422,1.0,1.0
269,345.0,5.251228548653552,0.15748546326889795,1.736674298738176e-08,1.0,1.0
270,346.0,6.055788771944438,1.8072611450792668e-07,1.366800782476859,1.0,1.0
271,347.0,8.27015747080374,0.574925014345045,3.0418784798132033e-07,1.0,1.0
272,348.0,6.304588988558565,1.5157001331078679e-07,1.486786209973605,1.0,1.0
273,349.0,4.6153672089952495,1.9321485091626747e-07,5.917586011616404e-06,1.0,1.0
274,350.0,6.9313238147378105,2.0176083696823183e-08,0.4398241522228078,1.0,1.0
275,351.0,8.230874763532109,4.095579369958876e-07,1.645245745241861e-07,1.0,1.0
276,353.0,6.7214200030845,5.927015857203828e-07,9.578694595433376e-07,1.0,1.0
277,354.0,7.110681786718007,1.2942540083374094e-07,0.9752771169549266,1.0,1.0
278,355.0,5.569234423870059,1.1902328534003315,1.942742564904865,1.0,1.0
279,357.0,8.396568518005349,1.8526254222263945e-08,0.9194149996156981,1.0,1.0
280,358.0,4.285584108051626,1.5543283165789113e-08,0.5997347441511869,1.0,1.0
282,360.0,5.3874104228555995,1.4215352624531161e-08,1.9580825586296662,1.0,1.0
283,362.0,3.0163477359989024,1.6925508413195884e-08,1.9548846294153243e-08,1.0,1.0
284,363.0,9.434289816000774,2.7461765050667336e-07,0.8502765361439026,1.0,1.0
285,364.0,7.1360832312797715,1.6846345707424588e-08,0.4761796114320838,1.0,1.0
286,365.0,7.2585754600387515,2.1343213817436488e-07,0.0919039686825549,1.0,1.0
287,366.0,6.274508280737695,1.6073006604404095e-08,0.46754258058577247,1.0,1.0
288,368.0,3.9835481202103282,1.4497205732654528e-08,1.421873348759076,1.0,1.0
289,370.0,5.644126626737941,1.516739913841873e-08,1.0454245363404822,1.0,1.0
290,371.0,4.14494312728246,1.5625347609073597e-08,1.0828933356525998,1.0,1.0
291,372.0,7.7000564974192915,4.759831783344881e-07,1.4581971533209643,1.0,1.0
292,373.0,7.30410946343259,1.5125387848627594e-07,1.0696817206013267,1.0,1.0
293,374.0,7.939765571151499,2.6710597058172175e-07,0.8037412381366227,1.0,1.0
294,375.0,7.263227068214627,1.0956887654612052e-07,0.9348207955935498,1.0,1.0
295,376.0,6.178178878024943,1.5566837897365483e-07,0.05314779032987271,1.0,1.0
296,377.0,8.808238249827156,3.777796571919628e-07,0.4489099036766688,1.0,1.0
297,378.0,5.529027792956336,1.3695770886998429e-08,0.561589340421341,1.0,1.0
298,380.0,6.277333016116542,0.4604449419740735,2.0765553157825696e-07,1.0,1.0
299,381.0,7.379263934966911,2.0825818626204092e-07,0.12369470561995154,1.0,1.0
300,382.0,5.027181397291068,1.185157695021849e-08,2.9999999969293007,1.0,1.0
301,383.0,6.323621254169786,1.4649092139216013e-08,0.98904134960723,1.0,1.0
302,384.0,5.741747367634494,1.1440067918427159e-07,0.18056776677756667,1.0,1.0
303,385.0,1.000000008228018,1.5189425025467367e-08,1.4304336597460693e-08,1.0,1.0
305,387.0,6.54209806483629,1.702999323934716e-07,1.7125012504353416,1.0,1.0
306,388.0,5.0067729939985925,2.2727319514181335e-07,0.35437898390768446,1.0,1.0
307,389.0,5.73872095048936,2.443327637705127e-07,1.223070896867146,1.0,1.0
308,390.0,5.9288143117368834,7.619998398045878e-08,0.05956343401622193,1.0,1.0
309,391.0,5.681451908740746,1.5070866767522302e-08,1.9135620396473756,1.0,1.0
310,392.0,5.470019204861622,1.6070064871930926e-08,0.514820994882825,1.0,1.0
312,394.0,2.5375338321836813,1.4171953309259624e-07,2.1189990109575652e-07,1.0,1.0
313,396.0,7.954964817042434,2.6285116530041934e-07,0.226690069530415,1.0,1.0
314,397.0,5.629273586971999,2.5894415974881187e-07,1.495935079851127,1.0,1.0
315,399.0,4.375292131469804,1.4665042273004944e-08,2.8018338920903116e-08,1.0,1.0
316,400.0,5.885847031881683,1.0180866491194081e-06,0.11839881336395065,1.0,1.0
317,402.0,6.207897318711979,1.2860261866788164e-07,0.422873248034569,1.0,1.0
318,403.0,5.172312294489573,1.2446033471639083e-07,0.942040077260211,1.0,1.0
319,405.0,5.400908485785294,1.4759270452755179e-08,2.499963562483555,1.0,1.0
320,406.0,6.930872472266907,2.0054019993130316e-08,0.3401485822042248,1.0,1.0
321,407.0,4.344054267205482,1.733380259067859e-08,0.9829382950525061,1.0,1.0
322,408.0,3.7671026263326097,1.582799284659421e-08,0.8137428865197375,1.0,1.0
323,409.0,2.0268730754386044,1.2611495820510782e-08,2.9999999906430883,1.0,1.0
324,410.0,5.995055598897496,2.1503383721619734e-08,0.23889083174189077,1.0,1.0
325,412.0,2.4500833451763815,1.692912571811035e-07,1.5565702297578992,1.0,1.0
326,414.0,5.59081924780848,1.4994632371873343e-08,0.6203612498992935,1.0,1.0
327,416.0,6.1464382907076125,1.4780764508631838e-08,0.7547321013500815,1.0,1.0
328,418.0,6.593675374175726,0.5752656495670552,1.577227622439723e-06,1.0,1.0
329,419.0,6.735590358045565,0.6740075379952833,1.542686534936355e-08,1.0,1.0
330,420.0,5.515455170924922,1.615774722029297e-08,0.7506045349463906,1.0,1.0
331,421.0,4.541036038401338,3.465120386310828e-07,1.1787406283550352,1.0,1.0
332,422.0,6.2876704947239155,0.30321921930424683,2.8508272822921834e-07,1.0,1.0
333,423.0,3.5916891475067696,4.396398680824912e-07,1.5373248538489098e-07,1.0,1.0
334,424.0,4.492998725621857,1.5507098456551522e-08,0.25264939955805765,1.0,1.0
335,425.0,6.458180248555279,1.390327053044104e-08,1.7928474568577903,1.0,1.0
336,426.0,5.179839312627378,1.290910082839191e-08,2.264729649351362e-08,1.0,1.0
337,427.0,6.499370086995626,1.501619185132682e-08,1.20830869189394,1.0,1.0
339,429.0,5.343105051913049,1.5101761069541946e-08,2.999999990808813,1.0,1.0
342,432.0,3.1625912191197347,7.103413857796862e-07,0.3808858929097017,1.0,1.0
343,433.0,6.67386011673656,2.0625563513514603e-07,1.8446024497021674,1.0,1.0
344,434.0,4.086442537072863,1.3856962303797005e-08,1.7706375461223238,1.0,1.0
345,435.0,5.521206663271823,1.6133713097671947e-08,1.5737140078182523,1.0,1.0
346,436.0,6.509021956622395,5.544277696868393e-07,0.0365361609318143,1.0,1.0
347,437.0,7.064645602724615,1.6218467235998993e-08,0.9894689862895455,1.0,1.0
348,438.0,6.851597658906467,1.601496538291388e-08,0.7588312027142815,1.0,1.0
349,439.0,6.76433189651197,2.6434337917965693e-07,2.9999971794221274,1.0,1.0
350,440.0,6.498631615729537,0.2351346743752242,2.068400759988637e-08,1.0,1.0
351,441.0,5.722148765866529,1.6274214276128068e-08,1.3019478202322032,1.0,1.0
352,442.0,6.9490080833671035,1.1909196360413097e-07,1.1388857768196394,1.0,1.0
353,443.0,4.216417187888792,1.4550826961033632e-08,2.4494482399392603,1.0,1.0
354,444.0,7.760123872366493,6.444084804625629e-07,3.887580677212342e-06,1.0,1.0
355,445.0,7.242445668354784,1.8364056955996577e-07,0.951711519657478,1.0,1.0
356,446.0,5.939021021086125,1.699550237918441e-08,3.696006125342515e-08,1.0,1.0
357,447.0,4.474836070967684,3.9958552951741127e-07,0.28828702983767907,1.0,1.0
358,448.0,5.653879515420452,1.5780539019370224e-08,2.0642069571900294,1.0,1.0
