,ID,Q_0,gamma_short,gamma_long,epsilon_short,epsilon_long,beta_long,beta_short
59,95.0,6.4525651330592835,3.585353098245104e-07,2.426041822375513,0.029893495872651655,0.3620124725101979,1.0,1.0
60,97.0,5.4116324671272675,9.641354158850459e-08,0.8649765037684987,2.2164777196221927e-08,1.5287665486936458e-08,1.0,1.0
62,100.0,8.02654332423428,2.8874932146571874e-07,1.2655692477944573,0.40515917294070863,0.28728136885484734,1.0,1.0
63,101.0,4.959669417875001,1.1952323222316e-07,0.7614505400165681,0.17731946368060694,0.009950779928979452,1.0,1.0
64,103.0,7.301194259329407,1.1672061882266825e-07,2.852108927227268,2.2440672690748685e-08,0.06819891864607204,1.0,1.0
65,105.0,5.821843342080741,2.0457025222899176e-08,2.3945240484493766,1.0233955641424216e-08,1.026301517688173e-08,1.0,1.0
66,106.0,5.583740545746074,0.04265563542685327,4.089382414876309e-08,0.014116532952788082,0.005000846718085231,1.0,1.0
67,107.0,4.006657374960704,0.23709316258355478,1.3966110409200493e-07,0.10365339405147879,0.07848624576030842,1.0,1.0
68,108.0,6.05705163594269,1.4754156687102682e-08,1.8871484899463118,1.0355988207251942e-08,0.03341308474899062,1.0,1.0
69,109.0,4.832341227276839,1.542963536443754e-08,0.29181245695051006,1.0635004940684659e-08,1.0573485437164137e-08,1.0,1.0
70,110.0,5.332612924721303,1.500303408253866e-08,1.322218905427758,1.040727200351601e-08,0.0345412565850689,1.0,1.0
71,111.0,5.9967826898728385,1.5562779421960882e-08,1.3155880092745769,1.0307804447071758e-08,0.04733076511614745,1.0,1.0
72,112.0,5.174912712206038,1.4250510231814768e-08,0.5932265425599309,1.0402377883549015e-08,1.034060885103236e-08,1.0,1.0
74,114.0,4.397028093248138,1.9764729659668268e-08,1.3635251404456852,1.0309772318636653e-08,1.0759549916439373e-08,1.0,1.0
75,115.0,6.4078851345264125,2.7704978546037217e-08,2.103546294601661,0.011210556912024659,0.07061315425526722,1.0,1.0
76,116.0,6.752192876698078,6.913702921201861e-08,0.729007634668138,1.2955450055477512e-08,2.471518457992873e-08,1.0,1.0
77,117.0,5.072064277448892,2.3151111645898956e-07,0.48713243261486877,0.14889417557300447,0.12088554525939937,1.0,1.0
78,118.0,4.959481441549176,9.050016194528689e-08,1.6115169410193377e-08,0.017535629342937988,1.1266565453562537e-08,1.0,1.0
79,119.0,6.561355565270937,1.4563543127860716e-08,1.7022652240736578,1.05487225694322e-08,0.009882512958520313,1.0,1.0
80,120.0,7.522858121331025,8.2644878583229e-08,0.6029294575911703,3.119887236822253e-08,1.2891822701543283e-08,1.0,1.0
81,121.0,5.24283554956158,1.3454446087883995e-07,0.34358896454359306,1.625476378036147e-08,1.6416927725918413e-08,1.0,1.0
82,122.0,5.916105353002666,3.113349282204549e-08,0.03593168764909274,0.08426736388717204,2.1388564500132616e-08,1.0,1.0
83,123.0,6.149529409433293,1.4708768128639564e-08,0.4940953577254787,1.225990571590476e-08,1.0624350916395908e-08,1.0,1.0
84,125.0,5.160892218491086,1.8703230767581022e-07,0.641404872076511,9.452759661289989e-08,0.07844117801544262,1.0,1.0
85,127.0,6.4569401221442115,4.3399769631806263e-08,0.2536108344666897,1.3744208232534318e-08,0.006714664029761375,1.0,1.0
86,128.0,5.082818816840213,2.854638907794152e-08,0.079511975189964,0.08768131188770131,1.5193202515999578e-08,1.0,1.0
87,129.0,4.976398939153531,0.37460953950183445,5.723098493023115e-07,0.35121121826515267,0.44749902572332145,1.0,1.0
88,130.0,9.199564453371607,2.688030473434285e-07,1.0238828914306648,0.017216585542632026,0.025755566270129503,1.0,1.0
90,132.0,5.806944455992227,1.3511842815485485e-07,0.31420585704117926,1.6776180168492874e-08,1.772930365865635e-08,1.0,1.0
